exercise_id,name_ptbr,drive_id,arquivo_original_drive,status
ex_001,Agachamento livre,1fU9JhxTMmakbAHk2H9a1ZlakMDAFrD4H,AGACHAMENTOLIVRE 2.MOV,ok
ex_002,Avanço (afundo) com peso corporal,1_HftqtaDkZti6gLNQCqlBlP7IxD9kq-x,AVANCOCOMPESOCORPORAL.MOV,ok
ex_003,Agachamento sumô isométrico,1_0BcaRvnfw0AXRB4CjTwNYH2dz_qCsSl,AGACHAMENTOSUMOISO.mov,ok
ex_004,Agachamento com halteres,1kL1ulRDTgM9xVZgg1gb2GXzmCn6Y-Xbl,AGACHAMENTO COM HALTERES.MOV,ok
ex_005,lunge Passada com halteres,10iBMAc2z7DvXu_RPA5RFOh0NqfWB-XWo,PASSADACOMHALTERES.MOV,ok
ex_006,Agachamento frontal com kettlebell,1S0e3XGpsMjuT8mP8ufawA0AqKN_gGEUW,AGACHAMENTOFRONTALCOMKETTUBEL.MOV,ok
ex_007,Leg press,1g3BHjkZdOFvHDTccm9pL2hEBrzTKDnld,LEG PRESS.MOV,ok
ex_008,Cadeira extensora,1NUiAyp1kVl5GRR2GG_6H6Xw_ckSIH7h5,CADEIRAEXTENSORA.MOV,ok
ex_009,Agachamento no smith,1IhKOE3k0YXrI0QUWTURye43X_ywYU5SX,AGACHAMENTONOSMITH.MOV,ok
ex_010,Agachamento frontal com barra,17vD7Mbp8BRFYUZnOHfGqALoWAu23GOE2,AGACHAMENTOFRONTALCOMBARRA.MOV,ok
ex_011,Avanço com barra,1EUfDonJ4XlfavsZUS33CKPm-sKYGiLKq,AVANCOCOMBARRA.MOV,ok
ex_012,Thruster (agachamento com push press),122oNeS3cT0mMqcO58DyxYR7DhJhxnUOB,THRUSTHER.MOV,ok
ex_013,Wall ball,1UcpkTEhMSHkDYQblYiCMjIIH3Ts5zC38,WALLBALL.MOV,ok
ex_014,Front squat com barra olímpica,1N7X3A5mzF1H95Njktr2jo-wwp-JkpEyG,FRONT SQUAT BARRA.MOV,ok
ex_015,Box step-up com peso,1bXRuDLe_PhkXTbVIPdjsm6qi4Ex-A3f-,BOXSTEPUPCOMPESO.MOV,ok
ex_016,Agachamento búlgaro com halteres,1BwQCr18xcJWuJHDnzldHYfGpBOEzT59d,BULGAROCOMDUMBEL.MOV,ok
ex_017,Agachamento búlgaro com barra,1855cWB_H8tdsIK3w352artNTX7PjNbjR,BULGAROCOMBARRA.MOV,ok
ex_018,Agachamento isométrico (cadeirinha),1qh-qE5io_HJRRI_Kf1J8zAckX5vuwkqe,AGACHAMENTOISIOMETRICO.MOV,ok
ex_019,Cossack squat,1H1v8LbgQ2TO-2AE6VFwxWHOiCcxxVlcw,COSSACKSQUAT.MOV,ok
ex_020,Agachamento búlgaro,1dUWtm-A-AYQB9f8hmSkuje79DV6wqc8W,BULGAROSEMCARGA.MOV,ok
ex_021,Agachamento com salto (Jump Squat),19ZqW_cgauCD0LfBYfEfC3Pdyc-Q-zirT,AGACHAMENTOCOMSALTO.MOV,ok
ex_022,Wall Sit (agachamento isométrico na parede),1M9gXOixGp6YPaqhAvfMp40Q34_hhYp0Z,AGACHAMENTOISIOMETRICONAPAREDE.MOV,ok
ex_023,Step-up no degrau,1Hm12j67F27uU1cOgtHmxytfTMELcSqtS,STEP UP NO DEGRAU.MOV,ok
ex_024,lunge Passada,1tTyu8-05zIvzMYrsxVfVPjVWjSLKuc9n,LUNGE PASSADA.MOV,ok
ex_025,Agachamento com elástico (miniband),1azNYVHnb5xt_PfZBUzKRY5fRS5wyzW07,AGACHAMENTOCOMELASTICO.MOV,ok
ex_026,Avanço com halteres,1STTwyRl7qzHKJiC4r17bKwJTp6lm6Bmg,AVANCOCOMHALTERES.MOV,ok
ex_027,Cadeira extensora unilateral,1rh7lscY6IK2NarYrKw9McZEMxwE9xdbs,CADEIRAEXTENSORAUNILATERAL.MOV,ok
ex_028,Leg Press 45°,1jnsbIahbMiLAl7kaSl36dEd_YnFNiSMD,LEG PRESS 45.MOV,ok
ex_029,Hack Squat,1Wt6jq77h95wtgyMdSTVu5xBkuEWjWTqv,HACK SQUAT.MOV,ok
ex_030,Agachamento frontal com halteres,1_2VZqPJXSu_FfSd0fmjCx4PrpEJWJ1ZZ,AGACHAMENTOFRONTALDUMBEL.MOV,ok
ex_031,Avanço com step  no Smith Machine,1ze6gPeFzirbo66eRCQS0ICS1J_TCAg2R,AVANCOCOMSTEPNOSMITH.MOV,ok
ex_032,Passada lateral em posição de agachamento,15rXH9x0Zq8PLPrVTgG_vZeC6fNl_wtCu,AGACHAMENTOCOMDESLOCAMENTOLATERALDEPE.MOV,ok
ex_033,Back Squat,1CEqMW9YDIonDP_KRn_chO5eNGxFDOWah,BACKSQUATCOMBARRAOLIMPICA.MOV,ok
ex_034,Box Squat (peso corporal),12dCae3oGIbSEoGbVDXr82hYdtD1CIU5R,BOX SQUAT.MOV,ok
ex_035,Box Squat com halteres,1KDoKCuyQh9A30CdV6cB-mLqgjJY9azqj,BOX SQUAT HALTERES.MOV,ok
ex_036,Box Squat com barra,1FxNtJPB582ACKVpwDjVTz6xCL7Xh3ptc,BOX SQUAT BARRA.MOV,ok
ex_037,Box Squat com elástico,16ChO9BW6sAGjX4usr7pFriMUZaj-SJmf,BOX SQUAT ELASTICO.MOV,ok
