exercise_id,name_ptbr,arquivo_original_drive,r2_file
ex_003,"Agachamento sumô isométrico","AGACHAMENTOSUMOISO.mov","AGACHAMENTOSUMOISO_1_2.mp4"
ex_004,"Agachamento com halteres","AGACHAMENTO COM HALTERES.MOV","AGACHAMENTO COM HALTERES_2.mp4"
ex_005,"lunge Passada com halteres","PASSADACOMHALTERES.MOV","PASSADACOMHALTERES_1_2.mp4"
ex_006,"Agachamento frontal com kettlebell","AGACHAMENTOFRONTALCOMKETTUBEL.MOV","AGACHAMENTOFRONTALCOMKETTUBEL_1_2.mp4"
ex_008,"Cadeira extensora","CADEIRAEXTENSORA.MOV","CADEIRAEXTENSORA_1_2.mp4"
ex_009,"Agachamento no smith","AGACHAMENTONOSMITH.MOV","AGACHAMENTONOSMITH_1_2.mp4"
ex_010,"Agachamento frontal com barra","AGACHAMENTOFRONTALCOMBARRA.MOV","AGACHAMENTOFRONTALCOMBARRA_1_2.mp4"
ex_011,"Avanço com barra","AVANCOCOMBARRA.MOV","AVANCOCOMBARRA_1_2.mp4"
ex_012,"Thruster (agachamento com push press)","THRUSTHER.MOV","THRUSTHER_1_2.mp4"
ex_014,"Front squat com barra olímpica","FRONT SQUAT BARRA.MOV","FRONT SQUAT BARRA_2.mp4"
ex_016,"Agachamento búlgaro com halteres","BULGAROCOMDUMBEL.MOV","BULGAROCOMDUMBEL_2.mp4"
ex_017,"Agachamento búlgaro com barra","BULGAROCOMBARRA.MOV","BULGAROCOMBARRA_2.mp4"
ex_019,"Cossack squat","COSSACKSQUAT.MOV","COSSACKSQUAT_1_2.mp4"
ex_020,"Agachamento búlgaro","BULGAROSEMCARGA.MOV","BULGAROSEMCARGA_2.mp4"
ex_021,"Agachamento com salto (Jump Squat)","AGACHAMENTOCOMSALTO.MOV","AGACHAMENTOCOMSALTO_1_2.mp4"
ex_022,"Wall Sit (agachamento isométrico na parede)","AGACHAMENTOISIOMETRICONAPAREDE.MOV","AGACHAMENTOISIOMETRICONAPAREDE_1_2.mp4"
ex_023,"Step-up no degrau","STEP UP NO DEGRAU.MOV","STEP UP NO DEGRAU_2.mp4"
ex_024,"lunge Passada","LUNGE PASSADA.MOV","LUNGE PASSADA_2.mp4"
ex_027,"Cadeira extensora unilateral","CADEIRAEXTENSORAUNILATERAL.MOV","CADEIRAEXTENSORAUNILATERAL_1_2.mp4"
ex_029,"Hack Squat","HACK SQUAT.MOV","HACK SQUAT_2.mp4"
ex_030,"Agachamento frontal com halteres","AGACHAMENTOFRONTALDUMBEL.MOV","AGACHAMENTOFRONTALDUMBEL_1_2.mp4"
ex_032,"Passada lateral em posição de agachamento","AGACHAMENTOCOMDESLOCAMENTOLATERALDEPE.MOV","AGACHAMENTOCOMDESLOCAMENTOLATERALDEPE_1_2.mp4"
ex_034,"Box Squat (peso corporal)","BOX SQUAT.MOV","BOX SQUAT_2.mp4"
ex_035,"Box Squat com halteres","BOX SQUAT HALTERES.MOV","BOX SQUAT HALTERES_2.mp4"
ex_036,"Box Squat com barra","BOX SQUAT BARRA.MOV","BOX SQUAT BARRA_2.mp4"
ex_037,"Box Squat com elástico","BOX SQUAT ELASTICO.MOV","BOX SQUAT ELASTICO_2.mp4"
ex_038,"Box Squat Unilateral (peso corporal)","BOX SQUAT UNILATERAL.MOV","BOX SQUAT UNILATERAL_2.mp4"
ex_040,"Passada lateral em posição de agachamento com mini band","PASSADALATERALEMPOSICAODEAGACOMELASTICO.MOV","PASSADALATERALEMPOSICAODEAGACOMELASTICO_1_2.mp4"
ex_041,"Thruster com barra","THRUSTERCOMBARRAOLIMPICA.MOV","THRUSTERCOMBARRAOLIMPICA_1_2.mp4"
ex_042,"Agachamento unilateral","AGACHAMENTOUNILATERAL.MOV","AGACHAMENTOUNILATERAL_2.mp4"
ex_043,"Jump Lunge","JUMP LUNGE.MOV","JUMP LUNGE_2.mp4"
ex_044,"Ponte de glúteos","PONTE DE GUTEOS.MOV","PONTE DE GUTEOS_2.mp4"
ex_047,"Abdução de quadril deitada com mini band","ABDUCAO DE QUADRIL DEITADA .MOV","ABDUCAO DE QUADRIL DEITADA-_1.mp4"
ex_049,"Cadeira abdutora","CADEIRA ABDUTORA.MOV","CADEIRA ABDUTORA_2.mp4"
ex_052,"Levantamento terra","DEADLIFT.MOV","DEADLIFT_2.mp4"
ex_057,"Agachamento búlgaro com o tronco projetado à frente com halteres","AGACHAMENTOBULGAROCOMCORPOINCLINDADOCOMCARGA.MOV","AGACHAMENTOBULGAROCOMCORPOINCLINDADOCOMCARGA_2.mp4"
ex_059,"Agachamento búlgaro com o tronco projetado à frente","AGACHAMENTOBULGAROCOMTRONCOINLINADO.MOV","AGACHAMENTOBULGAROCOMTRONCOINLINADO_2.mp4"
ex_064,"Extensão de quadril no cross","EXTENSAO DE QUADRIL NO CROSS.MOV","EXTENSAO DE QUADRIL NO CROSS_2.mp4"
ex_076,"Leg curl com bola suíça","LEG CURL COM BOLA SUICA .MOV","LEG CURL COM BOLA SUICA-_1.mp4"
ex_077,"Good morning com elastico","GOOD MORNING COM ELASTICO.MOV","GOOD MORNING COM ELASTICO_2.mp4"
ex_084,"Avanço reverso (peso corporal)","AVANCO REVERSO.MOV","AVANCO REVERSO_2.mp4"
ex_088,"Cadeira flexora unilateral","CADEIRA FLEXORA UNILATERAL.MOV","CADEIRA FLEXORA UNILATERAL_2.mp4"
ex_091,"Stiff unilateral com peso corporal","STIFF UNILATERAL .MOV","STIFF UNILATERAL-_1.mp4"
ex_092,"Stiff unilateral com halteres","STIFF UNILATERAL COM PESO.MOV","STIFF UNILATERAL COM PESO_2.mp4"
ex_094,"Elevação unilateral de panturrilha","ELEVACAO UNILATERAL DE PANTURRILHA .MOV","ELEVACAO UNILATERAL DE PANTURRILHA-_1.mp4"
ex_097,"Panturrilha sentado na máquina","PANTURILHA SENTADA NA MAQUINA.MOV","PANTURILHA SENTADA NA MAQUINA_2.mp4"
ex_100,"Panturrilha no step com pausa isométrica","PANTURRILHA NO STEP PAUSA ISO.MOV","PANTURRILHA NO STEP PAUSA ISO_2.mp4"
ex_102,"Elevação de panturrilha no Smith","PANTURRILHA NO SMITH .MOV","PANTURRILHA NO SMITH-_1.mp4"
ex_104,"Corrida em inclinação (esteira inclinada)","CORRIDA EM INCLINACAO .MOV","CORRIDA EM INCLINACAO-_1.mp4"
ex_105,"Abdominal tradicional","ABDOMINAL TRADICIONAL.MOV","ABDOMINAL TRADICIONAL_2.mp4"
ex_106,"Abdominal bicicleta","ABDOMINAL BICICLETA .MOV","ABDOMINAL BICICLETA-_1.mp4"
ex_109,"Elevação de pernas deitado","ELEVACAO DE PERNAS DEITADO.MOV","ELEVACAO DE PERNAS DEITADO_2.mp4"
ex_111,"Abdominal com peso (halter ou kettlebell)","ABDOMINAL TRADICIONAL COM PESO.MOV","ABDOMINAL TRADICIONAL COM PESO_2.mp4"
ex_112,"Russian twist com peso","RUSSIAN TWIST.MOV","RUSSIAN TWIST_2.mp4"
ex_114,"V-up","V-UP.MOV","V-UP_2.mp4"
ex_115,"Sit-up com bola medicinal","ABMAT SIT UP COM MEDBALL.MOV","ABMAT SIT UP COM MEDBALL_2.mp4"
ex_116,"V-up unilateral","V-UP UNILATERAL.MOV","V-UP UNILATERAL_2.mp4"
ex_119,"Abdominal remador","REMADOR.MOV","REMADOR_2.mp4"
ex_122,"Abdomina biciletal com miniband nos pés","ABDOMINAL BICICLETA COM MINIBAND.MOV","ABDOMINAL BICICLETA COM MINIBAND_2.mp4"
ex_123,"Abdominal L-sit","ABDOMINAL COM PESO.MOV","ABDOMINAL COM PESO_2.mp4"
ex_127,"Remador","REMADORAVANCADO.MOV","REMADORAVANCADO_2.mp4"
ex_129,"Joelho no peito na máquina","JOELHO NO PEITO NA MAQUINA.MOV","JOELHO NO PEITO NA MAQUINA_2.mp4"
ex_130,"GHD Sit-up","GHD SIT UP.MOV","GHD SIT UP_2.mp4"
ex_131,"Abdominal declinado no banco","ABDOMINAL DECLINADO NO BANCO.MOV","ABDOMINAL DECLINADO NO BANCO_2.mp4"
ex_133,"Abdominal Reloginho","ABDOMINAL RELOGINHO.MOV","ABDOMINAL RELOGINHO_2.mp4"
ex_134,"Toes to Kettlebell","TOES TO KTB.MOV","TOES TO KTB_2.mp4"
ex_137,"Bird dog","BIRD DOG.MOV","BIRD DOG(1)_2.mp4"
ex_138,"Dead bug","DEAD BUG.MOV","DEAD BUG_2.mp4"
ex_142,"Anti-rotação com elástico","ANTI ROTACAO COM ELASTICO.MOV","ANTI ROTACAO COM ELASTICO_2.mp4"
ex_143,"Cable anti-rotação (Pallof Press)","PALOFF PRESS.MOV","PALOFF PRESS(1)_2.mp4"
ex_144,"Woodchopper no cross","WOODCHOPPER NO CROSS.MOV","WOODCHOPPER NO CROSS_2.mp4"
ex_146,"Farmer's carry unilateral","FARMRS CARRY UNILATERAL.MOV","FARMRS CARRY UNILATERAL_2.mp4"
ex_149,"Dead bug com miniband","DEAD BUG COM MINI BAND.MOV","DEAD BUG COM MINI BAND_2.mp4"
ex_151,"Pike push-up","PIKE PUSH UP.MOV","PIKE PUSH UP_2.mp4"
ex_153,"Elevação lateral com halteres","ELEVACAO LATERAL .MOV","ELEVACAO LATERAL-_1.mp4"
ex_154,"Desenvolvimento com halteres","DESENVOLVIMENTO.MOV","DESENVOLVIMENTO_2.mp4"
ex_155,"Remada alta com elástico","REMADA ALTA COM ELASTICO.MOV","REMADA ALTA COM ELASTICO_2.mp4"
ex_156,"Desenvolvimento com barra","DESENVOLVIMENTO COM BARRA.MOV","DESENVOLVIMENTO COM BARRA_2.mp4"
ex_157,"Elevação frontal com halteres","ELEVACAO FRONTAL.MOV","ELEVACAO FRONTAL_2.mp4"
ex_158,"Crucifixo invertido no peck deck","CRUCIFIXO INVERTIDO NO PECK DECK.MOV","CRUCIFIXO INVERTIDO NO PECK DECK_2.mp4"
ex_159,"Arnold press","ARNOLD PRESS.MOV","ARNOLD PRESS_2.mp4"
ex_160,"Push press com barra","PUSH PRESS.MOV","PUSH PRESS_2.mp4"
ex_161,"Prancha pike walk","PRANCHA PIKE WALK.MOV","PRANCHA PIKE WALK_2.mp4"
ex_162,"Prancha com giro de tronco","PRANCHA COM GIRO DE TRONCO.MOV","PRANCHA COM GIRO DE TRONCO_2.mp4"
ex_163,"Toque alternado em parede na prancha","PRANCHA COM TOQUE ALTERNADO NA PAREDE.MOV","PRANCHA COM TOQUE ALTERNADO NA PAREDE_2.mp4"
ex_164,"Desenvolvimento com elástico","DESENVOLVIMENTO COM ELASTICO.MOV","DESENVOLVIMENTO COM ELASTICO_2.mp4"
ex_165,"Elevação lateral com miniband","ELEVACAO LATERAL COM ELASTICO.MOV","ELEVACAO LATERAL COM ELASTICO_2.mp4"
ex_167,"Desenvolvimento no Smith","DESENVOLVIMENTO NO SMITH.MOV","DESENVOLVIMENTO NO SMITH_2.mp4"
ex_168,"Elevação lateral na polia","ELEVACAO LATERAL NA POLIA.MOV","ELEVACAO LATERAL NA POLIA_2.mp4"
ex_171,"Remada alta com barra","REMADA ALTA COM BARRA.MOV","REMADA ALTA COM BARRA_2.mp4"
ex_172,"Press militar com barra","PRESS MILITAR CO BARRA.MOV","PRESS MILITAR CO BARRA_2.mp4"
ex_173,"Elevação frontal/ lateral com halteres","ELEVACAO FRONTAL:LATERAL.MOV","ELEVACAO FRONTAL_LATERAL_2.mp4"
ex_174,"Flexão de braço tradicional","FLEXAO DE BRACO TRADICINAL.mov","FLEXAO DE BRACO TRADICINAL_2.mp4"
ex_175,"Flexão de braço com pegada aberta","FLEXAO DE BRACO PEGADA ABERTA.MOV","FLEXAO DE BRACO PEGADA ABERTA_2.mp4"
ex_177,"Supino com halteres no chão","SUPINO COM HALTERES NO CHAO.MOV","SUPINO COM HALTERES NO CHAO_2.mp4"
ex_178,"Flexão com elástico de resistência","FLEXAO COM BAND.MOV","FLEXAO COM BAND_2.mp4"
ex_180,"Supino reto com barra","SUPINO RETO COM BARRA.MOV","SUPINO RETO COM BARRA_2.mp4"
ex_181,"Supino inclinado com barra","SUPINO INCLINADO.MOV","SUPINO INCLINADO_2.mp4"
ex_182,"Crossover no cross","CROSSOVER NA POLIA.MOV","CROSSOVER NA POLIA_2.mp4"
ex_183,"Crucifixo no peck deck","CRUCIFIXO NO PEC DECK.MOV","CRUCIFIXO NO PEC DECK_2.mp4"
ex_185,"Push-up explosivo com palmas","PUSH UP EXPLOSIVO COM PALMAS.MOV","PUSH UP EXPLOSIVO COM PALMAS_2.mp4"
ex_186,"Burpee com push-up","BURPEE COM PUSH UP.MOV","BURPEE COM PUSH UP_2.mp4"
