food_id,name_ptbr,food_group,food_type,calories_per_unit,protein_g,carbs_g,fat_g,fiber_g,sugar_g,sodium_mg,allergen_review_status,restriction_tokens,food_group_id,food_group_nome,food_type_id,food_type_nome,food_source_id,food_source_nome,food_preparation_method_id,food_preparation_method_nome,food_measurement_unit_id,food_measurement_unit_nome
food_001,Arroz integral cozido,Carboidratos,Grãos,124.00,2.60,25.60,0.90,1.60,0.00,1.00,unreviewed,,carbohydrates,Carboidratos,grain,Grãos,vegetable,Vegetal,boiled,Cozido,g,Grama
food_002,Batata doce cozida,Carboidratos,Raiz,76.00,1.60,18.40,0.10,2.50,5.70,36.00,unreviewed,,carbohydrates,Carboidratos,root_vegetable,Raiz,vegetable,Vegetal,boiled,Cozido,g,Grama
food_003,Macarrão cozido,Carboidratos,Grãos,131.00,5.80,29.70,1.00,1.80,0.00,1.00,reviewed_has_allergens,gluten,carbohydrates,Carboidratos,grain,Grãos,vegetable,Vegetal,boiled,Cozido,g,Grama
food_004,Aveia em flocos,Carboidratos,Cereal,389.00,16.90,66.30,6.90,8.00,0.00,2.00,reviewed_has_allergens,gluten_free_if_certified,carbohydrates,Carboidratos,cereal,Cereal,vegetable,Vegetal,dry,,g,Grama
food_005,Pão integral,Carboidratos,Grãos,247.00,13.00,41.00,3.40,6.00,4.30,400.00,reviewed_has_allergens,gluten,carbohydrates,Carboidratos,grain,Grãos,vegetable,Vegetal,baked,Assado,g,Grama
food_006,Mandioca cozida,Carboidratos,Raiz,125.00,1.40,38.10,0.30,1.80,1.70,14.00,unreviewed,,carbohydrates,Carboidratos,root_vegetable,Raiz,vegetable,Vegetal,boiled,Cozido,g,Grama
food_007,Milho cozido,Carboidratos,Grãos,96.00,3.40,21.00,1.50,2.70,4.50,15.00,unreviewed,,carbohydrates,Carboidratos,grain,Grãos,vegetable,Vegetal,boiled,Cozido,g,Grama
food_008,Quinoa cozida,Carboidratos,Grãos,120.00,4.40,21.30,1.90,2.80,0.90,7.00,unreviewed,,carbohydrates,Carboidratos,grain,Grãos,vegetable,Vegetal,boiled,Cozido,g,Grama
food_009,Cuscuz de milho cozido,Carboidratos,Grãos,112.00,3.80,25.30,0.20,1.50,0.00,1.00,unreviewed,,carbohydrates,Carboidratos,grain,Grãos,vegetable,Vegetal,boiled,Cozido,g,Grama
food_010,Tapioca (massa pronta),Carboidratos,Processado,331,0.00,80.00,0.00,0.90,0.00,1.00,unreviewed,,carbohydrates,Carboidratos,processed,Processado,vegetable,Vegetal,processed,,g,Grama
food_011,Inhame cozido,Carboidratos,Raiz,98.00,1.50,27.90,0.20,1.70,0.50,9.00,unreviewed,,carbohydrates,Carboidratos,root_vegetable,Raiz,vegetable,Vegetal,boiled,Cozido,g,Grama
food_012,Farinha de aveia,Carboidratos,Grãos,404.00,13.50,66.70,8.00,9.10,0.80,3.00,reviewed_has_allergens,gluten_free_if_certified,carbohydrates,Carboidratos,grain,Grãos,vegetable,Vegetal,dry,,g,Grama
food_013,Granola tradicional,Carboidratos,Cereal,421.00,10.00,65.00,15.00,7.50,20.00,150.00,reviewed_has_allergens,"gluten,nuts",carbohydrates,Carboidratos,cereal,Cereal,vegetable,Vegetal,dry,,g,Grama
food_014,Arroz branco cozido,Carboidratos,Grãos,129.00,2.70,28.20,0.30,0.40,0.10,1.00,unreviewed,,carbohydrates,Carboidratos,grain,Grãos,vegetable,Vegetal,me ,,g,Grama
food_015,Pão francês,Carboidratos,Grãos,145.00,4.00,29.00,1.20,1.10,1.00,300.00,reviewed_has_allergens,gluten,carbohydrates,Carboidratos,grain,Grãos,vegetable,Vegetal,baked,Assado,un,Unidade
food_016,Biscoito de água e sal,Carboidratos,Processado,434.00,10.00,74.00,9.00,1.20,1.00,800.00,reviewed_has_allergens,gluten,carbohydrates,Carboidratos,processed,Processado,vegetable,Vegetal,baked,Assado,g,Grama
food_017,Farinha de trigo,Carboidratos,Grãos,364.00,10.30,76.30,1.00,2.70,0.30,2.00,reviewed_has_allergens,gluten,carbohydrates,Carboidratos,grain,Grãos,vegetable,Vegetal,dry,,g,Grama
food_018,Polenta cozida,Carboidratos,Grãos,70.00,1.00,14.30,0.30,1.30,0.00,40.00,unreviewed,,carbohydrates,Carboidratos,grain,Grãos,vegetable,Vegetal,boiled,Cozido,g,Grama
food_019,Fubá de milho,Carboidratos,Grãos,365.00,7.20,79.10,1.50,3.90,0.60,5.00,unreviewed,,carbohydrates,Carboidratos,grain,Grãos,vegetable,Vegetal,dry,,g,Grama
food_020,Arroz parboilizado cozido,Carboidratos,Grãos,125.00,2.60,27.50,0.20,1.60,0.00,1.00,unreviewed,,carbohydrates,Carboidratos,grain,Grãos,vegetable,Vegetal,boiled,Cozido,g,Grama
food_021,Batata inglesa cozida,Carboidratos,Raiz,86.00,2.00,20.00,0.10,1.50,0.80,5.00,unreviewed,,carbohydrates,Carboidratos,root_vegetable,Raiz,vegetable,Vegetal,boiled,Cozido,g,Grama
food_022,Cevada em grãos cozida,Carboidratos,Grãos,123.00,2.30,28.20,0.40,3.80,0.80,3.00,reviewed_has_allergens,gluten,carbohydrates,Carboidratos,grain,Grãos,vegetable,Vegetal,boiled,Cozido,g,Grama
food_023,Trigo sarraceno cozido,Carboidratos,Grãos,92.00,3.40,19.90,0.60,2.70,0.00,4.00,unreviewed,,carbohydrates,Carboidratos,grain,Grãos,vegetable,Vegetal,boiled,Cozido,g,Grama
food_024,Araruta cozida,Carboidratos,Raiz,65.00,4.20,13.40,0.20,1.30,0.00,26.00,unreviewed,,carbohydrates,Carboidratos,root_vegetable,Raiz,vegetable,Vegetal,boiled,Cozido,g,Grama
food_025,"Pipoca (sem óleo, sem sal)",Carboidratos,Grãos,387.00,13.00,78.00,4.50,14.50,0.90,8.00,unreviewed,,carbohydrates,Carboidratos,grain,Grãos,vegetable,Vegetal,processed,,g,Grama
food_026,Batata baroa (mandioquinha) cozida,Carboidratos,Raiz,80.00,0.90,18.90,0.20,1.70,0.00,2.00,unreviewed,,carbohydrates,Carboidratos,root_vegetable,Raiz,vegetable,Vegetal,boiled,Cozido,g,Grama
food_027,Nhoque de batata,Carboidratos,Processado,148.00,3.50,32.50,0.50,1.20,1.50,300.00,reviewed_has_allergens,gluten,carbohydrates,Carboidratos,processed,Processado,vegetable,Vegetal,processed,,g,Grama
food_028,Abacate,Vegetais,Fruta,160,2.00,8.50,13.10,6.70,0.70,7.00,unreviewed,,vegetables,Vegetais,fruit,Fruta,vegetable,Vegetal,raw,Cru,g,Grama
food_029,Abóbora Cabotiá,Vegetais,Vegetal,40.00,1.40,12.50,0.10,2.50,3.30,1.00,unreviewed,,vegetables,Vegetais,vegetable,Vegetal,vegetable,Vegetal,boiled,Cozido,g,Grama
food_030,Abóbora Moranga,Vegetais,Vegetal,26.00,1.00,6.50,0.10,0.50,2.80,1.00,unreviewed,,vegetables,Vegetais,vegetable,Vegetal,vegetable,Vegetal,boiled,Cozido,g,Grama
food_031,Abóbora Paulista,Vegetais,Vegetal,19.00,0.60,3.80,0.10,1.10,2.00,1.00,unreviewed,,vegetables,Vegetais,vegetable,Vegetal,vegetable,Vegetal,boiled,Cozido,g,Grama
food_032,Abobrinha,Vegetais,Vegetal,17.00,1.20,3.10,0.30,1.10,2.50,8.00,unreviewed,,vegetables,Vegetais,vegetable,Vegetal,vegetable,Vegetal,raw,Cru,g,Grama
food_033,Acelga,Vegetais,,19.00,1.80,3.70,0.20,1.60,1.10,213.00,unreviewed,,vegetables,Vegetais,leafy_green,,vegetable,Vegetal,raw,Cru,g,Grama
food_034,Agrião,Vegetais,,11.00,2.60,1.30,0.10,0.50,0.20,41.00,unreviewed,,vegetables,Vegetais,leafy_green,,vegetable,Vegetal,raw,Cru,g,Grama
food_035,Aipo (Salsão),Vegetais,Vegetal,16.00,0.70,3.00,0.20,1.60,1.30,80.00,unreviewed,,vegetables,Vegetais,vegetable,Vegetal,vegetable,Vegetal,raw,Cru,g,Grama
food_036,Alcachofra,Vegetais,Vegetal,60.00,3.30,10.50,0.20,5.40,1.00,94.00,unreviewed,,vegetables,Vegetais,vegetable,Vegetal,vegetable,Vegetal,boiled,Cozido,g,Grama
